id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D4-001,4,medium,"Les dimensions de l'IA responsable selon AWS incluent (entre autres) :","Fairness, Explainability, Privacy & Security, Safety, Controllability, Veracity & Robustness, Governance, Transparency","Uniquement coût et performance","Uniquement vitesse","Aucune dimension officielle",A,"AWS publie ces 8 dimensions comme cadre de référence pour l'IA responsable. Chaque dimension est associée à des pratiques concrètes.",AWS Responsible AI
D4-002,4,easy,"La fairness en IA signifie :","Le modèle est gratuit","Le modèle traite équitablement les différents groupes ou individus, sans discriminer injustement","Le modèle est rapide","Le modèle est open source",B,"La fairness consiste à éviter qu'un modèle pénalise certains groupes (genre, ethnie, âge, géographie...) sans justification légitime.",Amazon SageMaker Clarify
D4-003,4,medium,"Le selection bias survient quand :","Les données d'entraînement ne sont pas représentatives de la population réelle (ex. seuls les clients premium dans le dataset)","Le modèle est entraîné trop longtemps","Le coût est trop élevé","La temperature est mal réglée",A,"Le selection bias est l'un des biais les plus courants. Mitigation : audit des sources, échantillonnage représentatif, augmentation de données.",Amazon SageMaker Clarify
D4-004,4,easy,"Amazon SageMaker Clarify aide à :","Compresser les modèles","Déployer en production","Détecter les biais (pré-entraînement et post-entraînement), expliquer les prédictions (SHAP), monitorer les biais en production","Configurer IAM",C,"Clarify est l'outil de fairness et explicability d'AWS. Il calcule des métriques de biais et utilise SHAP pour les explications.",Amazon SageMaker Clarify
D4-005,4,medium,"Les valeurs SHAP (SHapley Additive exPlanations) permettent :","De compresser le modèle","De gérer IAM","De faire de la sauvegarde","D'attribuer un score d'importance à chaque feature dans une prédiction donnée, basé sur la théorie des jeux",D,"SHAP est la référence pour l'explicabilité des modèles ML. Implémenté dans SageMaker Clarify.",Amazon SageMaker Clarify
D4-006,4,medium,"La détection de biais pré-entraînement consiste à :","Compresser","Analyser le dataset d'entraînement pour identifier les biais avant même de construire le modèle (ex. déséquilibre par genre, ethnie, géographie)","Désactiver le chiffrement","Doubler la temperature",B,"Détecter les biais en amont permet d'agir sur le dataset (rééchantillonnage, ajout de données) avant l'entraînement.",Amazon SageMaker Clarify
D4-007,4,medium,"La détection de biais post-entraînement consiste à :","Augmenter le coût","Détruire le modèle","Réduire les paramètres","Évaluer les prédictions du modèle pour identifier des biais (ex. taux d'erreur plus élevé pour un sous-groupe)",D,"Post-training bias analyse le comportement du modèle, complémentaire à l'analyse du dataset.",Amazon SageMaker Clarify
D4-008,4,medium,"SageMaker Model Cards permet :","De documenter les modèles (usage prévu, jeu de données, métriques, limitations, considérations éthiques) pour favoriser transparence et gouvernance","De stocker des images","De déployer en production","De compresser",A,"Les Model Cards sont des fiches standardisées essentielles pour la gouvernance, l'auditabilité, et le respect de réglementations (AI Act, etc.).",Amazon SageMaker Model Cards
D4-009,4,medium,"AWS AI Service Cards sont :","Des cartes physiques en plastique","Des fiches de paie","Des cartes de crédit","Des fiches publiques publiées par AWS qui documentent l'utilisation prévue, les performances, les limitations et les considérations responsables de services AI managés",D,"Disponibles pour Rekognition Face Matching, Textract AnalyzeID, Comprehend Detect Toxic Content, etc.",AWS AI Service Cards
D4-010,4,easy,"Amazon Bedrock Guardrails fournit :","Une couche centralisée de politiques de safety (filtres de contenu, sujets refusés, mots interdits, PII, ancrage contextuel) applicables aux invocations de FM","Du backup","Du DNS","Du CDN",A,"Guardrails est le service de safety dédié à Bedrock. Réutilisable sur plusieurs FMs et applicable via l'API ApplyGuardrail.",Amazon Bedrock Guardrails
