id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D2-001,2,easy,"Quelle affirmation décrit LE MIEUX un foundation model ?","Un modèle entraîné sur un seul domaine très spécifique","Un modèle de très grande taille pré-entraîné sur un vaste corpus généraliste, adaptable à de nombreuses tâches downstream","Un modèle ne fonctionnant que sur du matériel quantique","Une bibliothèque open-source réservée aux chercheurs",B,"Les foundation models (GPT, Claude, Llama, Titan, Nova, etc.) sont pré-entraînés sur d'énormes corpus puis adaptés par prompt, fine-tuning ou RAG.",Amazon Bedrock
D2-002,2,easy,"Que signifie l'acronyme LLM ?","Long Latency Model","Light Language Model","Linear Learning Machine","Large Language Model",D,"LLM = Large Language Model. Modèle de langage de grande taille (souvent plusieurs milliards de paramètres) entraîné sur d'énormes corpus textuels.",Amazon Bedrock
D2-003,2,easy,"Dans un LLM, quelle est l'unité de base manipulée lors du traitement du texte ?","Le token (souvent un mot ou un sous-mot)","Le bit","Le pixel","La page entière",A,"Le tokenizer découpe le texte en tokens via des algorithmes comme BPE ou WordPiece. La facturation Bedrock est généralement au token.",Amazon Bedrock
D2-004,2,medium,"Un embedding représente :","Un format de stockage des poids du modèle","Une fonction de coût d'entraînement","Une représentation vectorielle numérique d'un texte ou d'une image qui capture sa sémantique","Un type d'optimiseur d'apprentissage",C,"Les embeddings placent les contenus sémantiquement proches à proximité dans un espace vectoriel. Essentiels pour la recherche sémantique et le RAG.",Amazon Titan Embeddings
D2-005,2,medium,"Quelle est l'innovation centrale de l'architecture Transformer ?","L'utilisation de convolutions 3D pour le texte","Le matériel quantique exclusif","Le remplacement des GPU par des TPU","Le mécanisme d'attention (self-attention) qui permet au modèle de pondérer dynamiquement l'importance de chaque token du contexte",D,"Le paper Attention Is All You Need (2017) a introduit le self-attention, base de GPT, BERT, Claude, Llama, Titan.","-"
D2-006,2,medium,"La phase de pre-training d'un foundation model consiste à :","Filtrer le contenu malveillant","Entraîner le modèle sur d'énormes corpus de données non étiquetées pour qu'il apprenne des patterns généraux","Déployer le modèle en production","Compresser les poids du modèle",B,"Le pre-training est l'étape la plus coûteuse (parfois des millions de dollars) et donne au modèle ses capacités générales.",Amazon Bedrock
D2-007,2,easy,"Quel paramètre d'inférence contrôle principalement le caractère aléatoire et créatif des réponses d'un LLM ?","max_tokens","batch_size","stop_sequences","temperature",D,"Une temperature proche de 0 = déterministe et factuel ; proche de 1 = créatif et varié.",Amazon Bedrock
D2-008,2,medium,"Le paramètre top_p (nucleus sampling) :","Définit le nombre de tokens de sortie","Choisit la version du modèle","Limite l'échantillonnage aux tokens dont la probabilité cumulée atteint p","Active le mode streaming",C,"top_p filtre dynamiquement les tokens candidats. Avec top_p=0.9, on garde les tokens cumulant 90% de probabilité.",Amazon Bedrock
D2-009,2,medium,"Le paramètre top_k :","Limite l'échantillonnage aux k tokens les plus probables à chaque étape","Définit la taille de la context window","Détermine le nombre de modèles à utiliser en parallèle","Configure le débit du modèle",A,"top_k force le modèle à choisir parmi les k tokens les plus probables, réduisant les sorties improbables.",Amazon Bedrock
D2-010,2,easy,"Le paramètre max_tokens contrôle :","Le coût total annuel du modèle","Le nombre maximal de tokens dans la réponse générée","La taille de la context window globale","Le nombre de fournisseurs de modèles disponibles",B,"max_tokens limite la longueur de la sortie. Important pour le coût (facturation au token) et la latence.",Amazon Bedrock
D2-011,2,medium,"La context window d'un LLM désigne :","Une interface utilisateur graphique","Le temps maximal de réponse","Le nombre maximal de tokens (entrée plus sortie) que le modèle peut traiter en une requête","La taille du modèle en GB",C,"Varie de quelques milliers à plusieurs millions de tokens selon les modèles. Conditionne les usages (résumés longs, agents, analyse de documents).",Amazon Bedrock
D2-012,2,easy,"Un LLM répond avec assurance une information factuellement fausse. Comment appelle-t-on ce phénomène ?","Overfitting","Hallucination","Token leakage","Bias drift",B,"Les hallucinations sont une limite majeure des LLMs. Mitigation : RAG, prompts contraints, Bedrock Guardrails contextual grounding, validation humaine.",Amazon Bedrock Guardrails
D2-013,2,easy,"Pourquoi un foundation model ignore-t-il un événement survenu hier ?","Le modèle est limité par son knowledge cutoff (date de fin de ses données d'entraînement)","Les actualités sont censurées par défaut","Le modèle refuse les sujets sensibles","Le modèle a été chiffré",A,"Les FMs ne savent rien après leur cutoff. Pour des informations actuelles : RAG, web search ou agents capables d'appeler des APIs.",Amazon Bedrock
D2-014,2,easy,"Un développeur pose une question à un LLM sans fournir aucun exemple ni contexte additionnel. Comment appelle-t-on cette approche ?","Chain-of-thought","Few-shot prompting","Reinforcement prompting","Zero-shot prompting",D,"Zero-shot = aucun exemple. Few-shot = quelques exemples. Le zero-shot suffit pour beaucoup de tâches courantes.",Amazon Bedrock
D2-015,2,easy,"Inclure 3 à 10 exemples (entrée et sortie attendue) directement dans le prompt s'appelle :","Fine-tuning","Pre-training","Few-shot prompting (in-context learning)","RAG",C,"Le few-shot guide le modèle sur le format et le style attendu, sans réentraîner. Très efficace pour la classification ou l'extraction structurée.",Amazon Bedrock
