id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D1-001,1,easy,"Quelle affirmation décrit correctement la relation entre IA, Machine Learning et Deep Learning ?","Le Machine Learning englobe l'IA et le Deep Learning","L'IA et le ML sont équivalents au Deep Learning","Le Deep Learning est un sous-ensemble du ML, lui-même un sous-ensemble de l'IA","Ce sont trois domaines totalement indépendants",C,"Hiérarchie : IA ⊃ ML ⊃ DL. Le Deep Learning est une sous-famille du ML utilisant des réseaux de neurones profonds.","-"
D1-002,1,easy,"Une banque dispose d'un historique d'emails étiquetés spam ou légitime et veut entraîner un classifieur. Quel type d'apprentissage utiliser ?","Apprentissage supervisé (données étiquetées)","Apprentissage non supervisé","Apprentissage par renforcement","Auto-encodage non supervisé",A,"L'apprentissage supervisé apprend depuis des exemples étiquetés (entrée → sortie connue). Typique pour la classification ou la régression.",Amazon SageMaker
D1-003,1,easy,"Une équipe marketing veut regrouper 1 million de clients en segments aux comportements similaires, sans catégories prédéfinies.","Apprentissage par renforcement","Apprentissage non supervisé (clustering)","Apprentissage supervisé","Régression linéaire",B,"Le clustering (apprentissage non supervisé) groupe des données sans étiquettes selon leurs similarités.",Amazon SageMaker
D1-004,1,easy,"Un robot apprend à naviguer dans un labyrinthe en recevant +1 quand il avance et -1 quand il se cogne, sans données préalables.","Apprentissage supervisé","Apprentissage non supervisé","Transfer learning seul","Apprentissage par renforcement",D,"Le reinforcement learning fonctionne par interaction agent/environnement avec un signal de récompense. Typique pour la robotique, les jeux, l'optimisation séquentielle.",Amazon SageMaker RL
D1-005,1,easy,"Une plateforme immobilière veut prédire le prix exact (en €) d'une maison à partir de ses caractéristiques. Type de problème ?","Classification binaire","Clustering","Régression","Détection d'anomalies",C,"La régression prédit une valeur numérique continue. Différent de la classification qui prédit des catégories discrètes.",Amazon SageMaker
D1-006,1,easy,"Une assurance veut prédire si une demande de remboursement est frauduleuse (oui/non).","Classification binaire","Régression linéaire","Clustering hiérarchique","Réduction de dimension",A,"Deux classes mutuellement exclusives (frauduleux/légitime) = classification binaire.",Amazon Fraud Detector
D1-007,1,easy,"Un botaniste veut prédire à quelle espèce (parmi 50 espèces possibles) appartient une fleur à partir de mesures.","Régression linéaire","Clustering","Détection d'anomalies","Classification multi-classes",D,"Plusieurs classes mutuellement exclusives = classification multi-classes.",Amazon SageMaker
D1-008,1,medium,"Quel algorithme classique partitionne des données en K groupes en minimisant la distance intra-cluster ?","Régression logistique","K-Means","Random Forest","Gradient Boosting",B,"K-Means est l'algorithme de clustering le plus connu : il partitionne les données en K clusters via des centroïdes itératifs.",Amazon SageMaker
D1-009,1,medium,"Une équipe sécurité IT veut détecter des comportements réseau inhabituels potentiellement liés à une cyberattaque, sans patterns connus à l'avance.","Régression","Classification supervisée","Détection d'anomalies","Reconnaissance vocale",C,"La détection d'anomalies identifie les points qui s'écartent significativement du comportement normal, utile en cybersécurité, IoT, finance.",Amazon Lookout for Metrics
D1-010,1,easy,"Quel service AWS permet d'analyser images et vidéos (détection d'objets, visages, modération de contenu) sans entraîner de modèle ?","Amazon Rekognition","Amazon Polly","Amazon Transcribe","Amazon Macie",A,"Amazon Rekognition est le service managé d'analyse d'images et vidéos avec des modèles pré-entraînés (objets, visages, scènes, modération).",Amazon Rekognition
D1-011,1,easy,"Une entreprise veut analyser le sentiment de milliers d'avis clients en plusieurs langues automatiquement.","Amazon Translate","Amazon Polly","Amazon Lex","Amazon Comprehend",D,"Amazon Comprehend est le service NLP managé : sentiment, entités, sujets, classification, détection de langue.",Amazon Comprehend
