id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D5-001,5,medium,"Dans le modèle de responsabilité partagée AWS appliqué à Amazon Bedrock :","AWS est responsable de l'infrastructure et de la sécurité de l'infra, le client est responsable de ses données, des politiques IAM, du contrôle d'accès et de la configuration des Guardrails","AWS gère tout, sans responsabilité client","Le client gère l'infrastructure des modèles","Aucun modèle partagé n'existe",A,"Modèle classique AWS adapté à Bedrock : AWS gère le runtime des modèles ; le client gère ses données, accès et configurations.",AWS Shared Responsibility Model
D5-002,5,medium,"Pour autoriser un utilisateur à invoquer un FM précis sur Bedrock :","Donner les droits admin","Désactiver IAM","Créer une policy IAM avec l'action bedrock:InvokeModel limitée au modelArn spécifique, attachée à l'utilisateur ou rôle","Partager les clés racine",C,"IAM permet de scoper les permissions au niveau du modèle (modelArn) et d'ajouter des conditions (tags, source VPC).",AWS IAM
D5-003,5,easy,"Le principe du moindre privilège (least privilege) consiste à :","Donner tous les droits à tous les utilisateurs","N'accorder que les permissions strictement nécessaires (action plus ressource plus condition) à chaque identité","Désactiver IAM","Stocker les clés en clair",B,"Le least privilege est un pilier du Well-Architected Framework (Security). Réduit drastiquement la surface d'attaque.",AWS IAM
D5-004,5,medium,"Pour qu'une application dans un VPC privé invoque Bedrock SANS passer par Internet :","Utiliser une instance EC2 publique avec proxy","Désactiver le pare-feu","Utiliser AWS Direct Connect seul","Configurer un VPC interface endpoint pour Bedrock (AWS PrivateLink)",D,"Les VPC interface endpoints (AWS PrivateLink) maintiennent le trafic sur le réseau AWS. Exigence fréquente pour la conformité.",AWS PrivateLink
D5-005,5,medium,"Concernant la confidentialité des données client sur Amazon Bedrock :","Les prompts sont partagés avec d'autres clients","Les prompts sont publiés sur AWS Marketplace","Les prompts et données de personnalisation client ne sont PAS utilisés pour entraîner les FMs de base et ne sont PAS partagés avec les fournisseurs de modèles tiers","AWS utilise par défaut les données pour améliorer ses modèles",C,"Garantie clé de Bedrock : isolation des données client. Argument décisif pour les secteurs régulés.",Amazon Bedrock
D5-006,5,medium,"Pour chiffrer les données stockées et utilisées par Bedrock (jobs de personnalisation, batchs) avec des clés gérées par le client :","Utiliser AWS KMS avec des Customer Managed Keys (CMK)","Utiliser AWS Shield","Utiliser AWS WAF","Utiliser Amazon Inspector",A,"KMS supporte deux types de clés : AWS-managed et Customer-managed (CMK) pour un contrôle accru (rotation, audit, accès).",AWS KMS
D5-007,5,easy,"Les appels API Bedrock sont chiffrés en transit via :","Aucun chiffrement","TLS (HTTPS)","WPA2","Clear text",B,"Tous les appels aux API AWS, dont Bedrock, sont par défaut en TLS 1.2 ou plus.",Amazon Bedrock
D5-008,5,easy,"Pour auditer qui a invoqué quel modèle sur Bedrock, et quand :","AWS Shield","AWS Backup","AWS CloudTrail","Amazon CloudFront",C,"CloudTrail journalise tous les appels API AWS, dont Bedrock. C'est la base de l'auditabilité et de la traçabilité.",AWS CloudTrail
D5-009,5,medium,"Pour journaliser les prompts et complétions d'invocations Bedrock dans S3 ou CloudWatch Logs (audit, debug, évaluation) :","Activer Bedrock model invocation logging dans les paramètres Bedrock (avec choix S3 et/ou CloudWatch Logs)","Désactiver le chiffrement","Augmenter la temperature","Désactiver IAM",A,"Activer l'invocation logging Bedrock est essentiel pour la traçabilité, l'évaluation et la conformité.",Amazon Bedrock
D5-010,5,easy,"Amazon CloudWatch sert à :","Gérer le DNS","Faire des sauvegardes","Augmenter la latence","Collecter des métriques opérationnelles (latence, erreurs, throttling) et des logs des services AWS, dont Bedrock et SageMaker",D,"CloudWatch est l'outil de monitoring de référence : métriques, logs, alertes, dashboards.",Amazon CloudWatch
