id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D3-001,3,easy,"La proposition de valeur principale d'Amazon Bedrock est :","Stocker des bases vectorielles haute performance","Donner accès via API unique à plusieurs foundation models de différents fournisseurs sans gérer d'infrastructure","Remplacer SageMaker pour les modèles classiques","Servir uniquement les modèles Amazon Titan",B,"Bedrock est un service serverless qui expose plusieurs FMs (Anthropic, Meta, Mistral, AI21, Cohere, Amazon, Stability AI) via une API REST unique.",Amazon Bedrock
D3-002,3,medium,"Amazon Bedrock propose plusieurs modèles de tarification :","On-demand (paiement au token), Provisioned Throughput (débit dédié), Batch inference (tarif réduit pour traitements différés)","Uniquement gratuit","Uniquement abonnement annuel","Uniquement spot pricing",A,"Bedrock supporte plusieurs modes : on-demand pour usage variable, Provisioned pour charge constante, Batch pour gros volumes en différé.",Amazon Bedrock
D3-003,3,medium,"Le RAG (Retrieval-Augmented Generation) consiste à :","Réentraîner le modèle quotidiennement","Désactiver les paramètres d'inférence","Récupérer du contexte pertinent (souvent via embeddings et vector store) et l'injecter dans le prompt avant la génération","Compresser le modèle",C,"Le RAG ancre les réponses du LLM sur des sources externes sans réentraîner le modèle. Réduit les hallucinations et permet d'utiliser des données à jour.",Amazon Bedrock Knowledge Bases
D3-004,3,medium,"Le RAG est PARTICULIÈREMENT adapté quand :","On veut absolument modifier le style du modèle","Les connaissances changent fréquemment, doivent rester confidentielles, ou sont volumineuses","On souhaite réduire les hallucinations en ancrant sur des sources, sans réentraîner","Plusieurs des affirmations précédentes (B et C)",D,"Le RAG résout plusieurs problèmes simultanément : fraîcheur des données, confidentialité, ancrage anti-hallucination, sans coût de réentraînement.",Amazon Bedrock Knowledge Bases
D3-005,3,medium,"Le fine-tuning d'un FM est JUSTIFIÉ pour :","Adapter le style, le ton ou le format de sortie à un usage spécifique avec un dataset étiqueté représentatif","Apprendre des faits qui changent quotidiennement","Éviter d'utiliser un FM","Réduire à zéro l'effort de gestion",A,"Le fine-tuning est efficace pour spécialiser un modèle sur un style ou un format. Pour de la connaissance factuelle évolutive, préférer le RAG.",Amazon Bedrock
D3-006,3,medium,"Le continued pretraining sur Amazon Bedrock sert à :","Étiqueter les données automatiquement","Filtrer du contenu malveillant","Réduire la taille du modèle","Enrichir la connaissance générale d'un modèle sur un domaine via un grand corpus non étiqueté (médical, juridique...)",D,"Le continued pretraining utilise un corpus non étiqueté volumineux pour ré-imprégner le modèle d'un domaine. Différent du fine-tuning qui utilise des paires étiquetées.",Amazon Bedrock
D3-007,3,medium,"Quelle est la hiérarchie d'approches recommandée pour personnaliser un FM, du moins au plus coûteux ?","Prompt engineering puis RAG puis Fine-tuning puis Continued pretraining puis Train from scratch","Train from scratch puis Fine-tuning puis RAG puis Prompt","Toujours commencer par fine-tuning","Toujours commencer par train from scratch",A,"Cette hiérarchie est la règle d'or AWS. On commence toujours par la solution la plus simple et la moins coûteuse.",Amazon Bedrock
D3-008,3,easy,"Amazon Bedrock Knowledge Bases permet de :","Gérer les permissions IAM","Mettre en place un pipeline RAG managé : ingestion, chunking, embeddings, stockage vectoriel, recherche","Stocker des modèles fine-tunés","Remplacer Amazon S3",B,"Knowledge Bases automatise l'ensemble de la chaîne RAG : data sources, chunking, embeddings, vector store, retrieval.",Amazon Bedrock Knowledge Bases
D3-009,3,medium,"Bedrock Knowledge Bases peut ingérer des données depuis (entre autres) :","Uniquement DynamoDB","Uniquement EFS","Amazon S3 ainsi que des sources comme Confluence, SharePoint, Salesforce, web crawlers (selon disponibilité)","Uniquement RDS",C,"S3 est la source principale. D'autres connecteurs ajoutent SharePoint, Confluence, Salesforce, web crawlers.",Amazon Bedrock Knowledge Bases
D3-010,3,medium,"Vector stores supportés par Bedrock Knowledge Bases (parmi d'autres) :","Uniquement DynamoDB","Uniquement S3","Aucune option de vector store","Amazon OpenSearch Serverless, Aurora PostgreSQL (pgvector), Pinecone, Redis Enterprise Cloud, MongoDB Atlas, Neptune Analytics",D,"Plusieurs vector stores compatibles. Le choix dépend de la latence, du coût, des fonctionnalités hybrides recherchées.",Amazon Bedrock Knowledge Bases
